player_id,player_url,player_position,wage,height_cm,weight_kg,bmi,player_age,league_country,final_year_contract,nationality,preferred_foot,body_type,attack_work_rate,defence_work_rate,pace,shooting,passing,dribbling,defending,physic,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_jumping,power_stamina,power_strength,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,minutes_per_match,games_missed,injury,injury_category
170368,https://www.transfermarkt.com/erik-lamela/profil/spieler/111630,Attacker,36000,181,79,24.11,31,Spain,Yes,Argentina,Left,Lean,High,High,79,77,78,83,54,69,77,80,80,78,75,72,68,61,90,55,78,77,75,76,44.47,19,"Foot injury,Back problems,Torn muscle fiber in the adductor area,Muscle injury,Right hip flexor problems",High-risk
274191,https://www.transfermarkt.com/daisuke-yokota/profil/spieler/602781,Attacker,2000,170,66,22.84,23,Belgium,Yes,Japan,Left,Normal,Medium,Medium,73,46,60,71,46,48,77,70,86,64,84,42,75,34,49,53,64,59,52,61,56.17,8,Knee injury,High-risk
265752,https://www.transfermarkt.com/kevin-jensen/profil/spieler/521148,Attacker,1000,173,64,21.38,23,Sweden,Yes,Sweden,Right,Lean,Medium,Medium,76,60,59,68,20,49,74,77,82,59,81,45,58,44,50,23,58,62,52,65,49.19,0,none,Low-risk
231322,https://www.transfermarkt.com/elton-kabangu/profil/spieler/396847,Attacker,4000,178,70,22.09,25,Belgium,No,Belgium,Left,Normal,Medium,Low,77,60,59,67,29,51,77,77,74,52,65,74,32,63,38,19,60,62,51,52,13.11,0,none,Low-risk
257239,https://www.transfermarkt.com/josh-brooking/profil/spieler/566832,Centre-Back,8000,185,77,22.5,20,England,Yes,England,Right,Lean,Medium,Medium,59,32,38,42,62,61,62,57,43,49,60,67,58,63,58,59,27,34,47,47,0,0,none,Low-risk
275291,https://www.transfermarkt.com/niccolo-pisilli/profil/spieler/813137,Centre-Midfield,3000,180,75,23.15,18,Italy,No,Italy,Right,Normal,Medium,Medium,61,57,61,59,50,57,63,60,52,61,65,57,59,51,69,43,58,53,50,50,13,0,none,Low-risk
272651,https://www.transfermarkt.com/tom-cannon/profil/spieler/669366,Attacker,16000,180,65,20.06,20,England,No,Ireland,Right,Normal,High,High,79,69,56,72,27,59,80,79,76,59,75,74,65,61,42,21,69,63,68,65,1,0,none,Low-risk
231443,https://www.transfermarkt.com/ousmane-dembele/profil/spieler/288230,Attacker,150000,178,67,21.15,26,France,No,France,Left,Unique,High,Medium,93,77,81,87,36,57,94,93,90,80,81,65,68,52,54,36,80,83,75,81,68,0,none,Low-risk
226401,https://www.transfermarkt.com/kieran-dowell/profil/spieler/258916,Centre-Midfield,33000,185,70,20.45,25,Scotland,No,England,Left,Lean,Medium,Low,65,71,72,73,40,54,62,67,69,70,69,57,63,53,45,33,73,74,64,73,37.75,0,none,Low-risk
277025,https://www.transfermarkt.com/sampson-dweh/profil/spieler/686806,Centre-Back,500,180,75,23.15,21,Czech Republic,Yes,Liberia,Right,Normal,Medium,Medium,66,31,48,54,66,69,63,69,56,67,63,76,52,77,68,65,33,52,42,61,82.9,0,none,Low-risk
238263,https://www.transfermarkt.com/fredrik-pallesen-knudsen/profil/spieler/347849,Centre-Back,1000,190,83,22.99,27,Norway,Yes,Norway,Right,Normal,Medium,High,42,31,43,46,62,75,39,44,40,61,46,68,67,80,72,64,26,28,35,59,86.7,0,none,Low-risk
276174,https://www.transfermarkt.com/onur-ari/profil/spieler/826296,Attacker,3000,195,85,22.35,22,Türkiye,No,Türkiye,Left,Normal,Medium,Medium,57,63,45,57,31,71,51,62,54,63,38,72,63,77,68,23,65,55,62,58,3.67,0,none,Low-risk
269653,https://www.transfermarkt.com/aleksa-pejic/profil/spieler/542995,Centre-Midfield,6000,190,80,22.16,23,Austria,No,Serbia,Right,Lean,Low,High,50,45,56,61,66,74,47,53,56,62,40,68,74,75,72,68,51,52,39,54,0,0,none,Low-risk
232332,https://www.transfermarkt.com/sebastien-ibeagha/profil/spieler/170854,Centre-Back,2000,188,85,24.05,32,United States,Yes,United States,Right,Normal,Low,High,70,26,46,45,64,69,71,70,31,64,42,80,53,79,61,55,20,32,30,55,89.43,2,Calf injury,Low-risk
223597,https://www.transfermarkt.com/ruben-aguilar/profil/spieler/203746,Fullback,30000,170,71,24.57,30,France,No,France,Right,Normal,High,High,73,53,70,75,72,76,77,70,78,74,76,74,92,66,83,72,70,69,38,72,0,0,none,Low-risk
240914,https://www.transfermarkt.com/emeka-eze/profil/spieler/498517,Attacker,11000,185,80,23.37,26,Türkiye,No,Nigeria,Right,Stocky,High,Medium,76,72,55,67,26,80,75,76,72,68,65,85,73,86,71,14,69,64,69,70,19.13,11,Fitness,High-risk
226651,https://www.transfermarkt.com/min-jae-kim/profil/spieler/503482,Centre-Back,3000,182,65,19.62,26,Germany,No,"Korea, South",Right,Lean,High,Medium,61,59,60,63,51,73,66,56,63,62,69,68,78,73,66,55,62,65,60,63,76.81,1,Ankle problems,Low-risk
270585,https://www.transfermarkt.com/joao-silva/profil/spieler/461903,Centre-Back,2000,187,75,21.45,24,Belgium,No,Portugal,Right,Normal,Medium,Medium,59,24,41,45,63,69,54,63,62,58,56,68,68,71,67,63,24,33,30,44,88.05,0,none,Low-risk
269468,https://www.transfermarkt.com/serano-seymor/profil/spieler/618038,Centre-Back,1000,190,80,22.16,21,Netherlands,Yes,Netherlands,Right,Lean,Medium,Medium,65,33,46,42,65,65,63,66,42,52,48,72,58,72,53,61,27,31,46,48,40.89,14,"Foot injury,Foot injury",High-risk
208432,https://www.transfermarkt.com/tom-pettersson/profil/spieler/95377,Centre-Back,2000,190,83,22.99,34,Sweden,Yes,Sweden,Left,Normal,Medium,High,37,51,58,55,66,82,36,38,52,65,55,73,72,90,78,67,58,56,46,65,75,0,none,Low-risk
277288,https://www.transfermarkt.com/robbie-deas/profil/spieler/423752,Centre-Back,1000,188,75,21.22,23,Scotland,No,Scotland,Left,Normal,Medium,High,58,32,45,55,62,61,56,60,63,53,55,67,51,64,62,58,29,39,38,51,71.83,0,none,Low-risk
260010,https://www.transfermarkt.com/saad-balobaid/profil/spieler/821382,Fullback,5000,168,59,20.9,23,Saudi Arabia,No,Saudi Arabia,Left,Lean,Medium,High,79,29,45,60,57,67,78,79,71,52,81,50,75,62,73,56,53,42,21,46,62.92,0,none,Low-risk
248567,https://www.transfermarkt.com/sebastian-anderson/profil/spieler/504146,Fullback,850,175,64,20.9,21,United States,No,United States,Right,Lean,Medium,Medium,54,32,43,53,50,52,58,50,67,56,66,39,61,48,55,50,50,35,34,40,63.2,0,none,Low-risk
190544,https://www.transfermarkt.com/adem-ljajic/profil/spieler/69374,Centre-Midfield,12000,182,80,24.15,31,Serbia,Yes,Serbia,Right,Lean,Low,Low,63,69,71,70,49,47,66,60,64,58,72,54,34,51,53,49,71,71,75,70,70.88,1,Hamstring strain,Low-risk
247648,https://www.transfermarkt.com/kamal-miller/profil/spieler/487504,Centre-Back,5000,183,74,22.1,27,United States,Yes,Canada,Left,Normal,High,High,81,48,62,66,68,81,78,84,62,68,46,86,80,84,74,68,60,61,59,64,90,0,none,Low-risk
232658,https://www.transfermarkt.com/danilho-doekhi/profil/spieler/387047,Centre-Back,32000,190,86,23.82,25,Germany,No,Netherlands,Right,Normal,Medium,High,64,42,59,65,78,82,57,69,64,76,58,86,77,86,76,75,49,57,33,75,89.64,0,none,Low-risk
242629,https://www.transfermarkt.com/joao-moutinho/profil/spieler/29364,Centre-Midfield,2000,182,71,21.43,36,Portugal,No,Portugal,Left,Normal,High,Medium,66,37,63,66,67,68,66,66,67,66,62,71,71,70,58,66,41,52,34,58,71.89,0,none,Low-risk
275290,https://www.transfermarkt.com/markus-karlsson/profil/spieler/688042,Fullback,600,187,80,22.88,20,Sweden,Yes,Sweden,Right,Lean,Medium,Medium,66,27,48,40,61,61,70,63,48,55,57,70,57,60,64,60,38,40,38,47,55.07,0,none,Low-risk
233435,https://www.transfermarkt.com/manuel-maranda/profil/spieler/287995,Centre-Back,2000,188,75,21.22,25,Austria,Yes,Austria,Right,Lean,Medium,Medium,64,28,41,44,63,73,65,64,47,59,51,73,76,77,61,63,26,30,37,51,90,0,none,Low-risk
258489,https://www.transfermarkt.com/casper-terho/profil/spieler/679597,Attacker,3000,181,70,21.37,20,Belgium,No,Finland,Left,Lean,Medium,Medium,76,62,59,65,31,55,72,79,67,59,66,50,62,52,57,28,56,57,54,60,49.75,0,none,Low-risk
252440,https://www.transfermarkt.com/nadir-zortea/profil/spieler/392966,Wide-Midfield,11000,175,70,22.86,24,Italy,No,Italy,Right,Lean,High,Medium,69,45,53,65,66,57,71,68,68,60,63,60,58,52,66,66,51,42,47,53,34,4,muscular problems,Low-risk
234129,https://www.transfermarkt.com/dogukan-sinik/profil/spieler/370833,Attacker,10000,180,71,21.91,24,Türkiye,No,Türkiye,Right,Lean,High,Low,81,63,65,75,38,49,82,81,84,61,76,55,61,45,43,30,65,65,59,67,34.9,0,none,Low-risk
235658,https://www.transfermarkt.com/victor-nelsson/profil/spieler/422951,Centre-Back,33000,185,78,22.79,24,Türkiye,No,Denmark,Right,Normal,Low,High,64,43,59,66,79,84,61,67,64,76,73,82,83,85,81,79,47,59,53,72,74.96,0,Muscle injury,Low-risk
266244,https://www.transfermarkt.com/luka-stankovski/profil/spieler/626771,Centre-Midfield,2000,190,76,21.05,20,Türkiye,No,North Macedonia,Right,Lean,Medium,Medium,64,53,64,69,47,59,65,63,58,51,50,59,55,67,44,41,63,61,58,65,32.67,0,none,Low-risk
262600,https://www.transfermarkt.com/kevin-bukusu/profil/spieler/453796,Centre-Back,2000,184,77,22.74,22,Austria,No,Germany,Left,Stocky,Low,Medium,63,27,39,47,62,74,61,64,54,56,55,77,66,82,62,61,23,30,40,62,0,0,none,Low-risk
277470,https://www.transfermarkt.com/srdjan-hrstic/profil/spieler/619305,Attacker,1000,192,85,23.06,20,Sweden,No,Serbia,Right,Normal,High,Medium,78,64,52,59,20,71,77,78,68,54,62,84,70,80,45,15,62,58,64,65,53.09,0,none,Low-risk
237239,https://www.transfermarkt.com/enis-bardhi/profil/spieler/245014,Centre-Midfield,39000,172,64,21.63,27,Türkiye,No,North Macedonia,Right,Normal,High,Low,71,78,77,79,58,53,77,66,84,72,85,56,71,40,62,62,75,75,80,82,69.55,0,none,Low-risk
229753,https://www.transfermarkt.com/tsiy-ndenge/profil/spieler/253574,Centre-Midfield,12000,190,85,23.55,26,Switzerland,No,Cameroon,Left,Normal,Medium,High,68,66,63,69,68,81,64,71,71,73,63,72,83,82,76,72,64,66,57,65,75.18,0,none,Low-risk
255956,https://www.transfermarkt.com/joel-waterman/profil/spieler/441738,Centre-Back,3000,185,75,21.91,28,United States,No,Canada,Right,Lean,Medium,High,41,33,57,51,66,73,34,47,40,69,36,65,64,78,73,64,45,59,44,54,87.94,0,none,Low-risk
235532,https://www.transfermarkt.com/martin-ove-roseth/profil/spieler/392275,Centre-Back,850,188,78,22.07,25,Norway,No,Norway,Left,Lean,Medium,Medium,69,30,47,50,61,65,65,72,66,60,50,67,62,69,56,60,26,36,33,51,89.1,0,none,Low-risk
277477,https://www.transfermarkt.com/kaelin-nguyen/profil/spieler/737114,Attacker,700,185,79,23.08,20,Australia,Yes,New Zealand,Left,Lean,High,Medium,78,52,43,51,33,56,81,76,72,40,73,59,58,52,62,30,50,44,51,44,0,0,none,Low-risk
236822,https://www.transfermarkt.com/gabriel-gudmundsson/profil/spieler/362108,Fullback,19000,180,74,22.84,24,France,No,Sweden,Left,Normal,High,Low,85,64,67,71,67,70,84,86,74,68,68,72,75,66,74,66,66,62,46,63,58.08,0,none,Low-risk
237496,https://www.transfermarkt.com/djordje-mihailovic/profil/spieler/484756,Centre-Midfield,10000,178,69,21.78,24,Netherlands,No,United States,Right,Lean,High,High,72,70,76,74,60,68,75,69,74,76,75,62,89,61,59,62,73,80,55,75,31.31,0,none,Low-risk
204538,https://www.transfermarkt.com/raul-ruidiaz/profil/spieler/129724,Attacker,11000,169,66,23.11,33,United States,Yes,Peru,Right,Lean,High,Medium,82,78,65,79,33,67,80,83,82,80,86,81,68,63,73,28,81,68,71,80,68.06,1,Muscle injury,Low-risk
222825,https://www.transfermarkt.com/chadrac-akolo/profil/spieler/247459,Attacker,7000,172,72,24.34,28,Switzerland,Yes,DR Congo,Right,Normal,High,Medium,87,67,62,76,29,66,90,84,90,70,89,75,69,68,57,26,70,59,62,72,63.15,0,none,Low-risk
268068,https://www.transfermarkt.com/xander-martle/profil/spieler/583913,Centre-Midfield,1000,172,60,20.28,19,Belgium,Yes,Belgium,Right,Normal,Medium,Medium,61,43,59,64,30,37,68,55,77,40,82,39,33,45,22,32,47,60,41,45,0,0,none,Low-risk
235790,https://www.transfermarkt.com/kai-havertz/profil/spieler/309400,Centre-Midfield,110000,190,82,22.71,24,England,No,Germany,Left,Unique,Medium,Medium,78,79,79,83,45,68,75,81,75,83,68,82,77,69,52,38,83,81,73,84,75.04,0,none,Low-risk
268715,https://www.transfermarkt.com/alonso-martinez/profil/spieler/479870,Attacker,3000,173,72,24.06,25,United States,No,Costa Rica,Right,Normal,Medium,Medium,65,56,61,70,27,49,70,61,67,62,77,58,58,51,31,18,69,64,51,58,46.36,0,none,Low-risk
262397,https://www.transfermarkt.com/luuk-brouwers/profil/spieler/369552,Centre-Midfield,6000,183,76,22.69,25,Netherlands,Yes,Netherlands,Right,Normal,Medium,Medium,57,59,63,64,64,73,67,48,61,61,66,68,81,71,69,64,60,61,63,65,79.36,0,none,Low-risk
