season,name,position,team,location_x,kickoff_time,minutes,opp_team_name,location,was_home,area,mins_prev_match,duration,kickoff_date,temperature,humidity,elevation,injured
2018-2019,Andrew Robertson,DEF,Liverpool,Liverpool,2018-08-12 12:30:00+00:00,90,West Ham,London,TRUE,Liverpool,0,0,12/08/2018,17.19,91,14.48,no
2018-2019,Andrew Robertson,DEF,Liverpool,Liverpool,2018-08-20 19:00:00+00:00,90,Crystal Palace,London,FALSE,London,90,8,20/08/2018,19.08,73,7.55,no
2018-2019,Andrew Robertson,DEF,Liverpool,Liverpool,2018-08-25 16:30:00+00:00,90,Brighton,Brighton,TRUE,Liverpool,90,4,25/08/2018,13.79,74,14.48,no
2018-2019,Andrew Robertson,DEF,Liverpool,Liverpool,2018-09-01 11:30:00+00:00,90,Leicester,Leicester,FALSE,Leicester,90,6,01/09/2018,12.84,82,61.31,no
2018-2019,Andrew Robertson,DEF,Liverpool,Liverpool,2018-09-15 11:30:00+00:00,90,Spurs,London,FALSE,London,90,14,15/09/2018,13.08,76,7.55,no
2018-2019,Andrew Robertson,DEF,Liverpool,Liverpool,2018-09-22 14:00:00+00:00,90,Southampton,Southampton,TRUE,Liverpool,90,7,22/09/2018,12.99,71,14.48,no
2018-2019,Andrew Robertson,DEF,Liverpool,Liverpool,2018-09-29 16:30:00+00:00,90,Chelsea,London,FALSE,London,90,7,29/09/2018,9.68,71,7.55,no
2018-2019,Andrew Robertson,DEF,Liverpool,Liverpool,2018-10-07 15:30:00+00:00,90,Man City,Manchester,TRUE,Liverpool,90,7,07/10/2018,3.69,86,14.48,no
2018-2019,Andrew Robertson,DEF,Liverpool,Liverpool,2018-10-20 16:30:00+00:00,90,Huddersfield,Huddersfield,FALSE,Huddersfield,90,13,20/10/2018,9.73,95,88.01,no
2018-2019,Andrew Robertson,DEF,Liverpool,Liverpool,2018-10-27 14:00:00+00:00,0,Cardiff,Cardiff,TRUE,Liverpool,90,6,27/10/2018,5.69,64,14.48,no
2018-2019,Andrew Robertson,DEF,Liverpool,Liverpool,2018-11-03 17:30:00+00:00,90,Arsenal,London,FALSE,London,0,7,03/11/2018,5.88,79,7.55,no
2018-2019,Andrew Robertson,DEF,Liverpool,Liverpool,2018-11-11 12:00:00+00:00,90,Fulham,London,TRUE,Liverpool,90,7,11/11/2018,8.79,90,14.48,no
2018-2019,Andrew Robertson,DEF,Liverpool,Liverpool,2018-11-24 15:00:00+00:00,90,Watford,Watford,FALSE,Watford,90,13,24/11/2018,7.95,91,72.69,no
2018-2019,Andrew Robertson,DEF,Liverpool,Liverpool,2018-12-02 16:15:00+00:00,90,Everton,Liverpool,TRUE,Liverpool,90,8,02/12/2018,9.69,96,14.48,no
